time,price,nav
2018-05-10,1028.87,44423.94
2018-05-11,1044.85,43449.77
2018-05-14,1066.98,44058.49
2018-05-15,1073.5,44427.64
2018-05-16,1054.62,44507.02
2018-05-17,1030.64,43818.7
2018-05-18,1040.54,43240.46
2018-05-21,1014.98,43422.01
2018-05-22,985.91,42912.22
2018-05-23,988.94,41867.17
2018-05-24,985.92,42056.03
2018-05-25,963.9,41811.92
2018-05-28,931.75,41043.86
2018-05-29,952.18,39406.08
2018-05-30,948.5,40385.73
2018-05-31,971.25,40331.49
2018-06-01,992.87,41256.12
2018-06-04,1013.78,41971.9
2018-06-05,1022.74,42507.28
2018-06-06,1034.5,42695.9
2018-06-07,1036.69,43220.17
2018-06-08,1039.01,43392.38
2018-06-11,1039.02,43738.09
2018-06-12,1020.76,43874.51
2018-06-13,1030.53,43129.62
2018-06-14,1015.72,43296.05
2018-06-15,1016.51,42806.42
2018-06-18,987.34,42922.4
2018-06-19,962.16,41573.67
2018-06-20,980.95,40413.3
2018-06-21,969.4,41186.79
2018-06-22,983.17,40789.24
2018-06-25,990.52,41448.47
2018-06-26,983.02,41579.54
2018-06-27,968.91,41256.74
2018-06-28,957.35,40583.39
2018-06-29,960.78,39819.95
2018-07-02,947.15,39670.18
2018-07-03,906.01,38784.51
2018-07-04,914.99,37339.3
2018-07-05,899.4,37842.75
2018-07-06,917.51,37328.07
2018-07-09,915.12,38271.74
2018-07-10,911.12,38038.58
2018-07-11,893.16,38128.96
2018-07-12,898.51,37179.02
2018-07-13,909.72,37370.5
2018-07-16,911.11,37948.65
2018-07-17,921.27,38166.39
2018-07-18,942.39,38742.17
2018-07-19,943.97,39365.83
2018-07-20,933.39,39329.94
2018-07-23,936.74,39281.47
2018-07-24,934.08,38965.03
2018-07-25,927.58,38651.2
2018-07-26,930.16,38374.83
2018-07-27,935.52,38432.64
2018-07-30,949.73,38841.25
2018-07-31,956.39,39306.14
2018-08-01,952.77,39470.73
2018-08-02,953.55,39243.59
2018-08-03,959.6,39320.43
2018-08-06,960.23,39314.05
2018-08-07,956.79,39146.13
2018-08-08,966.27,39068.45
2018-08-09,963.5,39393.01
2018-08-10,968.47,39509.86
2018-08-13,978.04,39639.27
2018-08-14,978.27,40001.92
2018-08-15,961.37,40119.96
2018-08-16,964.28,39517.84
2018-08-17,968.88,39633.12
2018-08-20,969.62,39585.51
2018-08-21,979.21,39552.07
2018-08-22,982.15,40027.66
2018-08-23,987.36,40083.41
2018-08-24,987.05,40118.87
2018-08-27,991.92,40166.88
2018-08-28,995.19,40314.89
2018-08-29,988.17,40439.42
2018-08-30,998.07,40358.99
2018-08-31,989.54,40678.26
2018-09-04,975.94,40385.24
2018-09-05,968.44,39814.89
2018-09-06,958.19,39511.34
2018-09-07,968.9,39216.1
2018-09-10,970.34,39678.26
2018-09-11,985.06,39556.3
2018-09-12,987.01,39970.8
2018-09-13,987.95,39922.3
2018-09-14,991.34,40059.01
2018-09-17,987.61,40214.31
2018-09-18,993.49,40035.19
2018-09-19,995.54,40250.28
2018-09-20,1004.74,40440.99
2018-09-21,1002.97,40832.73
2018-09-24,1011.29,41184.54
2018-09-25,1010.74,41297.97
2018-09-26,1009.61,41224.52
2018-09-27,1015.37,41186.25
2018-09-28,1017.13,41449.71
2018-10-01,1012.88,41558.24
2018-10-02,1018.79,41347.88
2018-10-03,1020.4,41312.26
2018-10-04,1023.62,41490.0
2018-10-05,1008.39,41758.8
2018-10-08,996.12,41329.31
2018-10-09,996.19,41131.86
2018-10-10,993.96,41173.34
2018-10-11,945.89,41171.75
2018-10-12,970.08,39222.87
2018-10-15,951.64,40060.37
2018-10-16,963.37,39387.25
2018-10-17,971.6,39713.37
2018-10-18,963.47,39980.54
2018-10-19,958.36,39687.52
2018-10-22,953.51,39529.45
2018-10-23,939.68,39221.16
2018-10-24,922.73,38441.6
2018-10-25,910.17,37751.0
2018-10-26,900.82,37252.45
2018-10-29,888.82,36720.74
2018-10-30,888.69,36212.83
2018-10-31,914.76,36354.02
2018-11-01,907.96,37522.71
2018-11-02,924.86,37136.13
2018-11-05,925.53,37830.19
2018-11-06,922.05,37806.15
2018-11-07,922.16,37544.49
2018-11-08,926.28,37489.11
2018-11-09,914.29,37515.39
2018-11-12,918.12,36849.59
2018-11-13,905.38,37085.7
2018-11-14,900.93,36606.54
2018-11-15,897.15,36365.73
2018-11-16,898.19,36197.06
2018-11-19,916.06,36473.68
2018-11-20,919.02,37083.18
2018-11-21,922.56,37140.41
2018-11-22,924.42,37260.52
2018-11-23,917.97,37367.18
2018-11-26,921.03,37010.14
2018-11-27,923.12,37072.16
2018-11-28,930.2,37007.06
2018-11-29,926.79,37247.55
2018-11-30,926.54,37042.88
2018-12-03,951.59,37044.21
2018-12-04,958.84,38093.41
2018-12-05,957.14,38214.95
2018-12-06,954.82,38247.12
2018-12-07,958.59,38155.41
2018-12-10,955.89,38335.72
2018-12-11,954.58,38086.62
2018-12-12,961.28,38059.27
2018-12-13,960.25,38428.34
2018-12-14,952.04,38390.69
2018-12-17,933.65,38067.37
2018-12-18,927.25,37393.63
2018-12-19,919.24,37465.48
2018-12-20,918.24,37293.35
2018-12-21,912.26,37257.11
2018-12-24,908.56,37106.32
2018-12-25,897.94,36932.82
2018-12-26,891.75,36529.98
2018-12-27,900.81,36423.11
2018-12-28,892.54,36847.31
2019-01-02,891.75,36842.7
2019-01-03,878.22,36481.41
2019-01-04,880.9,35866.3
2019-01-07,889.64,35960.98
2019-01-08,887.44,36233.57
2019-01-09,896.99,36102.06
2019-01-10,898.3,36464.59
2019-01-11,902.71,36472.72
2019-01-14,901.8,36473.39
2019-01-15,909.68,36406.02
2019-01-16,908.7,36682.59
2019-01-17,901.89,36945.08
2019-01-18,902.3,36762.22
2019-01-21,911.05,36721.29
2019-01-22,906.55,36929.5
2019-01-23,908.18,36731.38
2019-01-24,908.79,36720.42
2019-01-25,908.88,36765.84
2019-01-28,912.18,36766.04
2019-01-29,915.93,36830.07
2019-01-30,915.84,37016.91
2019-01-31,910.65,36958.62
2019-02-01,908.67,36859.69
2019-02-11,926.1,36855.14
2019-02-12,937.54,37419.66
2019-02-13,945.25,37600.13
2019-02-14,952.34,37876.99
2019-02-15,950.89,37901.02
2019-02-18,961.3,37933.74
2019-02-19,964.35,38186.39
2019-02-20,970.58,38241.36
2019-02-21,987.57,38446.32
2019-02-22,988.91,38827.15
2019-02-25,994.43,38977.75
2019-02-26,987.06,39197.41
2019-02-27,990.27,38930.74
2019-02-28,965.47,38903.52
2019-03-01,979.63,38209.93
2019-03-04,993.99,38630.75
2019-03-05,992.45,39135.51
2019-03-06,994.49,38995.91
2019-03-07,994.03,39036.76
2019-03-08,985.25,39020.29
2019-03-11,984.6,38721.18
2019-03-12,1001.32,38731.58
2019-03-13,1005.41,39279.55
2019-03-14,1008.44,39492.31
2019-03-15,1004.12,39571.3
2019-03-18,1011.86,39404.29
2019-03-19,1006.59,39610.91
2019-03-20,1002.3,39400.66
2019-03-21,981.78,39240.89
2019-03-22,988.71,38692.63
2019-03-25,970.07,38858.74
2019-03-26,969.79,38156.31
2019-03-27,975.91,38207.27
2019-03-28,982.98,38437.67
2019-03-29,980.76,38615.0
2019-04-01,988.53,38584.84
2019-04-02,985.81,38723.12
2019-04-03,984.46,38651.9
2019-04-04,986.91,38621.05
2019-04-05,989.26,38739.56
2019-04-08,997.56,38798.38
2019-04-09,988.48,39017.06
2019-04-10,981.91,38798.16
2019-04-11,985.95,38489.24
2019-04-12,982.9,38543.86
2019-04-16,977.17,38531.33
2019-04-17,972.1,38276.8
2019-04-18,962.3,38226.27
2019-04-19,966.21,37976.7
2019-04-22,965.86,38079.03
2019-04-23,968.0,38026.14
2019-04-24,976.92,38058.15
2019-04-25,974.13,38410.19
2019-04-26,979.64,38347.56
2019-05-02,978.5,38595.99
2019-05-03,974.14,38652.74
2019-05-06,957.97,38590.31
2019-05-07,957.56,37938.89
2019-05-08,951.22,38057.25
2019-05-09,947.01,37798.76
